ponto_id,prediction
119,"[-8.055604999999995, -34.95172799999998]"
122,"[-8.055604999999995, -34.95172799999998]"
131,"[-8.055604999999995, -34.95172799999998]"
132,"[-8.055604999999995, -34.95172799999998]"
135,"[-8.055604999999995, -34.95172799999998]"
144,"[-8.055604999999995, -34.95172799999998]"
149,"[-8.055604999999995, -34.95172799999998]"
151,"[-8.055604999999995, -34.95172799999998]"
157,"[-8.055604999999995, -34.95172799999998]"
164,"[-8.055604999999995, -34.95172799999998]"
167,"[-8.055604999999995, -34.95172799999998]"
168,"[-8.055604999999995, -34.95172799999998]"
169,"[-8.055604999999995, -34.95172799999998]"
172,"[-8.055604999999995, -34.95172799999998]"
176,"[-8.055604999999995, -34.95172799999998]"
177,"[-8.055604999999995, -34.95172799999998]"
179,"[-8.055604999999995, -34.95172799999998]"
180,"[-8.055604999999995, -34.95172799999998]"
181,"[-8.055604999999995, -34.95172799999998]"
185,"[-8.055604999999995, -34.95172799999998]"
196,"[-8.055604999999995, -34.95172799999998]"
199,"[-8.055604999999995, -34.95172799999998]"
209,"[-8.055604999999995, -34.95172799999998]"
211,"[-8.055604999999995, -34.95172799999998]"
212,"[-8.055604999999995, -34.95172799999998]"
214,"[-8.055604999999995, -34.95172799999998]"
217,"[-8.055604999999995, -34.95172799999998]"
218,"[-8.055604999999995, -34.95172799999998]"
221,"[-8.055604999999995, -34.95172799999998]"
222,"[-8.055604999999995, -34.95172799999998]"
229,"[-8.055604999999995, -34.95172799999998]"
230,"[-8.055604999999995, -34.95172799999998]"
233,"[-8.055604999999995, -34.95172799999998]"
239,"[-8.055604999999995, -34.95172799999998]"
245,"[-8.055604999999995, -34.95172799999998]"
247,"[-8.055604999999995, -34.95172799999998]"
248,"[-8.055604999999995, -34.95172799999998]"
251,"[-8.055604999999995, -34.95172799999998]"
252,"[-8.055604999999995, -34.95172799999998]"
257,"[-8.055604999999995, -34.95172799999998]"
263,"[-8.055604999999995, -34.95172799999998]"
265,"[-8.055604999999995, -34.95172799999998]"
267,"[-8.055604999999995, -34.95172799999998]"
274,"[-8.055604999999995, -34.95172799999998]"
286,"[-8.055604999999995, -34.95172799999998]"
288,"[-8.055604999999995, -34.95172799999998]"
291,"[-8.055604999999995, -34.95172799999998]"
292,"[-8.055604999999995, -34.95172799999998]"
300,"[-8.055604999999995, -34.95172799999998]"
304,"[-8.055604999999995, -34.95172799999998]"
308,"[-8.055604999999995, -34.95172799999998]"
311,"[-8.055604999999995, -34.95172799999998]"
315,"[-8.055604999999995, -34.95172799999998]"
316,"[-8.055604999999995, -34.95172799999998]"
318,"[-8.055604999999995, -34.95172799999998]"
319,"[-8.055604999999995, -34.95172799999998]"
321,"[-8.055604999999995, -34.95172799999998]"
323,"[-8.055604999999995, -34.95172799999998]"
328,"[-8.055604999999995, -34.95172799999998]"
330,"[-8.055604999999995, -34.95172799999998]"
332,"[-8.055604999999995, -34.95172799999998]"
333,"[-8.055604999999995, -34.95172799999998]"
334,"[-8.055604999999995, -34.95172799999998]"
335,"[-8.055604999999995, -34.95172799999998]"
337,"[-8.055604999999995, -34.95172799999998]"
346,"[-8.055604999999995, -34.95172799999998]"
349,"[-8.055604999999995, -34.95172799999998]"
350,"[-8.055604999999995, -34.95172799999998]"
353,"[-8.055604999999995, -34.95172799999998]"
354,"[-8.055604999999995, -34.95172799999998]"
360,"[-8.055604999999995, -34.95172799999998]"
367,"[-8.055604999999995, -34.95172799999998]"
379,"[-8.055604999999995, -34.95172799999998]"
381,"[-8.055604999999995, -34.95172799999998]"
385,"[-8.055604999999995, -34.95172799999998]"
388,"[-8.055604999999995, -34.95172799999998]"
393,"[-8.055604999999995, -34.95172799999998]"
394,"[-8.055604999999995, -34.95172799999998]"
400,"[-8.055604999999995, -34.95172799999998]"
401,"[-8.055604999999995, -34.95172799999998]"
402,"[-8.055604999999995, -34.95172799999998]"
408,"[-8.055604999999995, -34.95172799999998]"
409,"[-8.055604999999995, -34.95172799999998]"
411,"[-8.055604999999995, -34.95172799999998]"
415,"[-8.055604999999995, -34.95172799999998]"
416,"[-8.055604999999995, -34.95172799999998]"
427,"[-8.055604999999995, -34.95172799999998]"
429,"[-8.055604999999995, -34.95172799999998]"
433,"[-8.055604999999995, -34.95172799999998]"
435,"[-8.055604999999995, -34.95172799999998]"
439,"[-8.055604999999995, -34.95172799999998]"
445,"[-8.055604999999995, -34.95172799999998]"
447,"[-8.055604999999995, -34.95172799999998]"
449,"[-8.055604999999995, -34.95172799999998]"
453,"[-8.055604999999995, -34.95172799999998]"
455,"[-8.055604999999995, -34.95172799999998]"
457,"[-8.055604999999995, -34.95172799999998]"
461,"[-8.055604999999995, -34.95172799999998]"
462,"[-8.055604999999995, -34.95172799999998]"
465,"[-8.055604999999995, -34.95172799999998]"
468,"[-8.055604999999995, -34.95172799999998]"
472,"[-8.055604999999995, -34.95172799999998]"
473,"[-8.055604999999995, -34.95172799999998]"
474,"[-8.055604999999995, -34.95172799999998]"
476,"[-8.055604999999995, -34.95172799999998]"
477,"[-8.055604999999995, -34.95172799999998]"
483,"[-8.055604999999995, -34.95172799999998]"
485,"[-8.055604999999995, -34.95172799999998]"
486,"[-8.055604999999995, -34.95172799999998]"
487,"[-8.055604999999995, -34.95172799999998]"
495,"[-8.055604999999995, -34.95172799999998]"
496,"[-8.055604999999995, -34.95172799999998]"
500,"[-8.055604999999995, -34.95172799999998]"
503,"[-8.055604999999995, -34.95172799999998]"
509,"[-8.055604999999995, -34.95172799999998]"
510,"[-8.055604999999995, -34.95172799999998]"
511,"[-8.055604999999995, -34.95172799999998]"
513,"[-8.055604999999995, -34.95172799999998]"
518,"[-8.055604999999995, -34.95172799999998]"
524,"[-8.055604999999995, -34.95172799999998]"
528,"[-8.055604999999995, -34.95172799999998]"
530,"[-8.055604999999995, -34.95172799999998]"
532,"[-8.055604999999995, -34.95172799999998]"
533,"[-8.055604999999995, -34.95172799999998]"
538,"[-8.055604999999995, -34.95172799999998]"
540,"[-8.055604999999995, -34.95172799999998]"
543,"[-8.055604999999995, -34.95172799999998]"
544,"[-8.055604999999995, -34.95172799999998]"
550,"[-8.055604999999995, -34.95172799999998]"
551,"[-8.055604999999995, -34.95172799999998]"
554,"[-8.055604999999995, -34.95172799999998]"
555,"[-8.055604999999995, -34.95172799999998]"
563,"[-8.055604999999995, -34.95172799999998]"
564,"[-8.055604999999995, -34.95172799999998]"
567,"[-8.055604999999995, -34.95172799999998]"
568,"[-8.055604999999995, -34.95172799999998]"
576,"[-8.055604999999995, -34.95172799999998]"
577,"[-8.055604999999995, -34.95172799999998]"
582,"[-8.055604999999995, -34.95172799999998]"
586,"[-8.055604999999995, -34.95172799999998]"
590,"[-8.055604999999995, -34.95172799999998]"
591,"[-8.055604999999995, -34.95172799999998]"
592,"[-8.055604999999995, -34.95172799999998]"
594,"[-8.055604999999995, -34.95172799999998]"
601,"[-8.055604999999995, -34.95172799999998]"
603,"[-8.055604999999995, -34.95172799999998]"
604,"[-8.055604999999995, -34.95172799999998]"
605,"[-8.055604999999995, -34.95172799999998]"
611,"[-8.055604999999995, -34.95172799999998]"
613,"[-8.055604999999995, -34.95172799999998]"
617,"[-8.055604999999995, -34.95172799999998]"
618,"[-8.055604999999995, -34.95172799999998]"
620,"[-8.055604999999995, -34.95172799999998]"
623,"[-8.055604999999995, -34.95172799999998]"
624,"[-8.055604999999995, -34.95172799999998]"
625,"[-8.055604999999995, -34.95172799999998]"
633,"[-8.055604999999995, -34.95172799999998]"
637,"[-8.055604999999995, -34.95172799999998]"
641,"[-8.055604999999995, -34.95172799999998]"
642,"[-8.055604999999995, -34.95172799999998]"
647,"[-8.055604999999995, -34.95172799999998]"
653,"[-8.055604999999995, -34.95172799999998]"
654,"[-8.055604999999995, -34.95172799999998]"
655,"[-8.055604999999995, -34.95172799999998]"
664,"[-8.055604999999995, -34.95172799999998]"
665,"[-8.055604999999995, -34.95172799999998]"
668,"[-8.055604999999995, -34.95172799999998]"
673,"[-8.055604999999995, -34.95172799999998]"
675,"[-8.055604999999995, -34.95172799999998]"
676,"[-8.055604999999995, -34.95172799999998]"
678,"[-8.055604999999995, -34.95172799999998]"
682,"[-8.055604999999995, -34.95172799999998]"
683,"[-8.055604999999995, -34.95172799999998]"
693,"[-8.055604999999995, -34.95172799999998]"
694,"[-8.055604999999995, -34.95172799999998]"
696,"[-8.055604999999995, -34.95172799999998]"
700,"[-8.055604999999995, -34.95172799999998]"
706,"[-8.055604999999995, -34.95172799999998]"
708,"[-8.055604999999995, -34.95172799999998]"
710,"[-8.055604999999995, -34.95172799999998]"
711,"[-8.055604999999995, -34.95172799999998]"
712,"[-8.055604999999995, -34.95172799999998]"
713,"[-8.055604999999995, -34.95172799999998]"
715,"[-8.055604999999995, -34.95172799999998]"
718,"[-8.055604999999995, -34.95172799999998]"
724,"[-8.055604999999995, -34.95172799999998]"
730,"[-8.055604999999995, -34.95172799999998]"
733,"[-8.055604999999995, -34.95172799999998]"
736,"[-8.055604999999995, -34.95172799999998]"
737,"[-8.055604999999995, -34.95172799999998]"
738,"[-8.055604999999995, -34.95172799999998]"
740,"[-8.055604999999995, -34.95172799999998]"
742,"[-8.055604999999995, -34.95172799999998]"
743,"[-8.055604999999995, -34.95172799999998]"
744,"[-8.055604999999995, -34.95172799999998]"
745,"[-8.055604999999995, -34.95172799999998]"
747,"[-8.055604999999995, -34.95172799999998]"
748,"[-8.055604999999995, -34.95172799999998]"
749,"[-8.055604999999995, -34.95172799999998]"
751,"[-8.055604999999995, -34.95172799999998]"
753,"[-8.055604999999995, -34.95172799999998]"
758,"[-8.055604999999995, -34.95172799999998]"
759,"[-8.055604999999995, -34.95172799999998]"
761,"[-8.055604999999995, -34.95172799999998]"
763,"[-8.055604999999995, -34.95172799999998]"
764,"[-8.055604999999995, -34.95172799999998]"
765,"[-8.055604999999995, -34.95172799999998]"
766,"[-8.055604999999995, -34.95172799999998]"
773,"[-8.055604999999995, -34.95172799999998]"
774,"[-8.055604999999995, -34.95172799999998]"
782,"[-8.055604999999995, -34.95172799999998]"
786,"[-8.055604999999995, -34.95172799999998]"
789,"[-8.055604999999995, -34.95172799999998]"
794,"[-8.055604999999995, -34.95172799999998]"
795,"[-8.055604999999995, -34.95172799999998]"
799,"[-8.055604999999995, -34.95172799999998]"
800,"[-8.055379999999998, -34.951736]"
809,"[-8.055379999999998, -34.951736]"
810,"[-8.055379999999998, -34.951736]"
811,"[-8.055379999999998, -34.951736]"
815,"[-8.055379999999998, -34.951736]"
828,"[-8.055379999999998, -34.951736]"
831,"[-8.055379999999998, -34.951736]"
833,"[-8.055379999999998, -34.951736]"
834,"[-8.055379999999998, -34.951736]"
835,"[-8.055379999999998, -34.951736]"
837,"[-8.055379999999998, -34.951736]"
841,"[-8.055379999999998, -34.951736]"
852,"[-8.055379999999998, -34.951736]"
856,"[-8.055379999999998, -34.951736]"
858,"[-8.055379999999998, -34.951736]"
862,"[-8.055379999999998, -34.951736]"
866,"[-8.055379999999998, -34.951736]"
868,"[-8.055379999999998, -34.951736]"
871,"[-8.055379999999998, -34.951736]"
872,"[-8.055379999999998, -34.951736]"
877,"[-8.055379999999998, -34.951736]"
879,"[-8.055379999999998, -34.951736]"
881,"[-8.055379999999998, -34.951736]"
883,"[-8.055379999999998, -34.951736]"
906,"[-8.055379999999998, -34.951736]"
908,"[-8.055379999999998, -34.951736]"
914,"[-8.055379999999998, -34.951736]"
921,"[-8.055379999999998, -34.951736]"
927,"[-8.055379999999998, -34.951736]"
932,"[-8.055379999999998, -34.951736]"
934,"[-8.055379999999998, -34.951736]"
940,"[-8.055379999999998, -34.951736]"
947,"[-8.055379999999998, -34.951736]"
952,"[-8.055379999999998, -34.951736]"
957,"[-8.055379999999998, -34.951736]"
958,"[-8.055379999999998, -34.951736]"
960,"[-8.055379999999998, -34.951736]"
964,"[-8.055379999999998, -34.951736]"
965,"[-8.055379999999998, -34.951736]"
967,"[-8.055379999999998, -34.951736]"
970,"[-8.055379999999998, -34.951736]"
971,"[-8.055379999999998, -34.951736]"
982,"[-8.055379999999998, -34.951736]"
994,"[-8.055379999999998, -34.951736]"
996,"[-8.055379999999998, -34.951736]"
997,"[-8.055379999999998, -34.951736]"
1002,"[-8.055379999999998, -34.951736]"
1005,"[-8.055379999999998, -34.951736]"
1009,"[-8.055379999999998, -34.951736]"
1010,"[-8.055379999999998, -34.951736]"
1017,"[-8.055379999999998, -34.951736]"
1018,"[-8.055379999999998, -34.951736]"
1020,"[-8.055379999999998, -34.951736]"
1022,"[-8.055379999999998, -34.951736]"
1025,"[-8.055379999999998, -34.951736]"
1027,"[-8.055379999999998, -34.951736]"
1034,"[-8.055379999999998, -34.951736]"
1038,"[-8.055379999999998, -34.951736]"
1042,"[-8.055379999999998, -34.951736]"
1044,"[-8.055379999999998, -34.951736]"
1046,"[-8.055379999999998, -34.951736]"
1052,"[-8.055379999999998, -34.951736]"
1053,"[-8.055379999999998, -34.951736]"
1055,"[-8.055379999999998, -34.951736]"
1056,"[-8.055379999999998, -34.951736]"
1057,"[-8.055379999999998, -34.951736]"
1061,"[-8.055379999999998, -34.951736]"
1068,"[-8.055379999999998, -34.951736]"
1071,"[-8.055379999999998, -34.951736]"
1074,"[-8.055379999999998, -34.951736]"
1075,"[-8.055379999999998, -34.951736]"
1076,"[-8.055379999999998, -34.951736]"
1078,"[-8.055379999999998, -34.951736]"
1084,"[-8.055379999999998, -34.951736]"
1087,"[-8.055379999999998, -34.951736]"
1090,"[-8.055379999999998, -34.951736]"
1095,"[-8.055379999999998, -34.951736]"
1101,"[-8.055379999999998, -34.951736]"
1103,"[-8.055379999999998, -34.951736]"
1107,"[-8.055379999999998, -34.951736]"
1108,"[-8.055379999999998, -34.951736]"
1111,"[-8.055379999999998, -34.951736]"
1112,"[-8.055379999999998, -34.951736]"
1115,"[-8.055379999999998, -34.951736]"
1123,"[-8.055379999999998, -34.951736]"
1126,"[-8.055379999999998, -34.951736]"
1127,"[-8.055379999999998, -34.951736]"
1139,"[-8.055379999999998, -34.951736]"
1142,"[-8.055379999999998, -34.951736]"
1144,"[-8.055379999999998, -34.951736]"
1145,"[-8.055379999999998, -34.951736]"
1147,"[-8.055379999999998, -34.951736]"
1149,"[-8.055379999999998, -34.951736]"
1152,"[-8.055379999999998, -34.951736]"
1153,"[-8.055379999999998, -34.951736]"
1155,"[-8.055379999999998, -34.951736]"
1156,"[-8.055379999999998, -34.951736]"
1157,"[-8.055379999999998, -34.951736]"
1162,"[-8.055379999999998, -34.951736]"
1163,"[-8.055379999999998, -34.951736]"
1166,"[-8.055379999999998, -34.951736]"
1168,"[-8.055379999999998, -34.951736]"
1172,"[-8.055379999999998, -34.951736]"
1175,"[-8.055379999999998, -34.951736]"
1176,"[-8.055379999999998, -34.951736]"
1180,"[-8.055379999999998, -34.951736]"
1183,"[-8.055379999999998, -34.951736]"
1188,"[-8.055379999999998, -34.951736]"
1193,"[-8.055379999999998, -34.951736]"
1194,"[-8.055379999999998, -34.951736]"
1195,"[-8.055379999999998, -34.951736]"
1197,"[-8.055379999999998, -34.951736]"
1199,"[-8.055379999999998, -34.951736]"
1201,"[-8.055379999999998, -34.951736]"
1204,"[-8.055379999999998, -34.951736]"
1210,"[-8.055379999999998, -34.951736]"
1217,"[-8.055379999999998, -34.951736]"
1219,"[-8.055379999999998, -34.951736]"
1220,"[-8.055379999999998, -34.951736]"
1222,"[-8.055379999999998, -34.951736]"
1224,"[-8.055379999999998, -34.951736]"
1226,"[-8.055379999999998, -34.951736]"
1233,"[-8.055379999999998, -34.951736]"
1244,"[-8.055379999999998, -34.951736]"
1245,"[-8.055379999999998, -34.951736]"
1247,"[-8.055379999999998, -34.951736]"
1250,"[-8.055379999999998, -34.951736]"
1253,"[-8.055379999999998, -34.951736]"
1254,"[-8.055379999999998, -34.951736]"
1261,"[-8.055379999999998, -34.951736]"
1263,"[-8.055379999999998, -34.951736]"
1277,"[-8.055379999999998, -34.951736]"
1278,"[-8.055379999999998, -34.951736]"
1281,"[-8.055379999999998, -34.951736]"
1282,"[-8.055379999999998, -34.951736]"
1285,"[-8.055379999999998, -34.951736]"
1287,"[-8.055379999999998, -34.951736]"
1295,"[-8.055379999999998, -34.951736]"
1297,"[-8.055379999999998, -34.951736]"
1298,"[-8.055379999999998, -34.951736]"
1310,"[-8.055379999999998, -34.951736]"
1313,"[-8.055379999999998, -34.951736]"
1314,"[-8.055379999999998, -34.951736]"
1315,"[-8.055379999999998, -34.951736]"
1318,"[-8.055379999999998, -34.951736]"
1320,"[-8.055379999999998, -34.951736]"
1322,"[-8.055379999999998, -34.951736]"
1323,"[-8.055379999999998, -34.951736]"
1328,"[-8.055379999999998, -34.951736]"
1329,"[-8.055379999999998, -34.951736]"
1330,"[-8.055379999999998, -34.951736]"
1334,"[-8.055379999999998, -34.951736]"
1339,"[-8.055379999999998, -34.951736]"
1345,"[-8.055379999999998, -34.951736]"
1346,"[-8.055379999999998, -34.951736]"
1349,"[-8.055379999999998, -34.951736]"
1354,"[-8.055379999999998, -34.951736]"
1355,"[-8.055379999999998, -34.951736]"
1359,"[-8.055379999999998, -34.951736]"
1360,"[-8.055379999999998, -34.951736]"
1369,"[-8.055379999999998, -34.951736]"
1372,"[-8.055379999999998, -34.951736]"
1373,"[-8.055379999999998, -34.951736]"
1374,"[-8.055379999999998, -34.951736]"
1379,"[-8.055379999999998, -34.951736]"
1383,"[-8.055379999999998, -34.951736]"
1385,"[-8.055379999999998, -34.951736]"
1393,"[-8.055379999999998, -34.951736]"
1396,"[-8.055379999999998, -34.951736]"
1400,"[-8.055379999999998, -34.951736]"
1402,"[-8.055379999999998, -34.951736]"
1405,"[-8.055379999999998, -34.951736]"
1406,"[-8.055379999999998, -34.951736]"
1413,"[-8.055379999999998, -34.951736]"
1414,"[-8.055379999999998, -34.951736]"
1416,"[-8.055379999999998, -34.951736]"
1417,"[-8.055379999999998, -34.951736]"
1418,"[-8.055379999999998, -34.951736]"
1420,"[-8.055379999999998, -34.951736]"
1421,"[-8.055379999999998, -34.951736]"
1426,"[-8.055379999999998, -34.951736]"
1427,"[-8.055379999999998, -34.951736]"
1429,"[-8.055379999999998, -34.951736]"
1430,"[-8.055379999999998, -34.951736]"
1432,"[-8.055379999999998, -34.951736]"
1437,"[-8.055379999999998, -34.951736]"
1438,"[-8.055379999999998, -34.951736]"
1443,"[-8.055379999999998, -34.951736]"
1446,"[-8.055379999999998, -34.951736]"
1452,"[-8.055379999999998, -34.951736]"
1453,"[-8.055379999999998, -34.951736]"
1456,"[-8.055379999999998, -34.951736]"
1458,"[-8.055379999999998, -34.951736]"
1465,"[-8.055379999999998, -34.951736]"
1467,"[-8.055379999999998, -34.951736]"
1468,"[-8.055379999999998, -34.951736]"
1470,"[-8.055379999999998, -34.951736]"
1472,"[-8.055379999999998, -34.951736]"
1477,"[-8.055379999999998, -34.951736]"
1479,"[-8.055379999999998, -34.951736]"
1480,"[-8.055379999999998, -34.951736]"
1482,"[-8.055379999999998, -34.951736]"
1483,"[-8.055379999999998, -34.951736]"
1488,"[-8.055379999999998, -34.951736]"
1491,"[-8.055379999999998, -34.951736]"
1496,"[-8.055379999999998, -34.951736]"
1501,"[-8.055379999999998, -34.951736]"
1502,"[-8.055379999999998, -34.951736]"
1509,"[-8.055379999999998, -34.951736]"
1512,"[-8.055380000000001, -34.95173600000001]"
1513,"[-8.055379999999998, -34.951736]"
1516,"[-8.055379999999998, -34.951736]"
1527,"[-8.055379999999998, -34.951736]"
1530,"[-8.055379999999998, -34.951736]"
1532,"[-8.055379999999998, -34.951736]"
1533,"[-8.055379999999998, -34.951736]"
1535,"[-8.055379999999998, -34.951736]"
1536,"[-8.055379999999998, -34.951736]"
1543,"[-8.055379999999998, -34.951736]"
1544,"[-8.055379999999998, -34.951736]"
1545,"[-8.055379999999998, -34.951736]"
1550,"[-8.055379999999998, -34.951736]"
1557,"[-8.055379999999998, -34.951736]"
1558,"[-8.055379999999998, -34.951736]"
1559,"[-8.055379999999998, -34.951736]"
1561,"[-8.055379999999998, -34.951736]"
1562,"[-8.055379999999998, -34.951736]"
1568,"[-8.055379999999998, -34.951736]"
1569,"[-8.055379999999998, -34.951736]"
1570,"[-8.055379999999998, -34.951736]"
1575,"[-8.055379999999998, -34.951736]"
1576,"[-8.055379999999998, -34.951736]"
1578,"[-8.055379999999998, -34.951736]"
1586,"[-8.055379999999998, -34.951736]"
1593,"[-8.055379999999998, -34.951736]"
1595,"[-8.055379999999998, -34.951736]"
1597,"[-8.055379999999998, -34.951736]"
1598,"[-8.055379999999998, -34.951736]"
1599,"[-8.055379999999998, -34.951736]"
1603,"[-8.055379999999998, -34.951736]"
1606,"[-8.055834, -34.951362]"
1608,"[-8.055834, -34.951362]"
1614,"[-8.055834, -34.951362]"
1615,"[-8.055834, -34.951362]"
1616,"[-8.055834, -34.951362]"
1617,"[-8.055834, -34.951362]"
1618,"[-8.055834, -34.951362]"
1623,"[-8.055834, -34.951362]"
1626,"[-8.055834, -34.951362]"
1631,"[-8.055834, -34.951362]"
1642,"[-8.055834, -34.951362]"
1643,"[-8.055834, -34.951362]"
1649,"[-8.055834, -34.951362]"
1650,"[-8.055834, -34.951362]"
1656,"[-8.055834, -34.951362]"
1659,"[-8.055834, -34.951362]"
1662,"[-8.055834, -34.951362]"
1665,"[-8.055834, -34.951362]"
1670,"[-8.055834, -34.951362]"
1671,"[-8.055834, -34.951362]"
1672,"[-8.055834, -34.951362]"
1680,"[-8.055834, -34.951362]"
1683,"[-8.055834, -34.951362]"
1684,"[-8.055834, -34.951362]"
1688,"[-8.055834, -34.951362]"
1691,"[-8.055834, -34.951362]"
1699,"[-8.055834, -34.951362]"
1701,"[-8.055834, -34.951362]"
1713,"[-8.055834, -34.951362]"
1718,"[-8.055834, -34.951362]"
1720,"[-8.055834, -34.951362]"
1721,"[-8.055834, -34.951362]"
1726,"[-8.055834, -34.951362]"
1728,"[-8.055834, -34.951362]"
1729,"[-8.055834, -34.951362]"
1730,"[-8.055834, -34.951362]"
1731,"[-8.055834, -34.951362]"
1732,"[-8.055834, -34.951362]"
1737,"[-8.055834, -34.951362]"
1738,"[-8.055834, -34.951362]"
1739,"[-8.055834, -34.951362]"
1740,"[-8.055834, -34.951362]"
1741,"[-8.055834, -34.951362]"
1743,"[-8.055834, -34.951362]"
1744,"[-8.055834, -34.951362]"
1745,"[-8.055834, -34.951362]"
1746,"[-8.055834, -34.951362]"
1747,"[-8.055834, -34.951362]"
1758,"[-8.055834, -34.951362]"
1760,"[-8.055834, -34.951362]"
1765,"[-8.055834, -34.951362]"
1768,"[-8.055834, -34.951362]"
1770,"[-8.055834, -34.951362]"
1775,"[-8.055834, -34.951362]"
1777,"[-8.055834, -34.951362]"
1780,"[-8.055834, -34.951362]"
1783,"[-8.055834, -34.951362]"
1785,"[-8.055834, -34.951362]"
1790,"[-8.055834, -34.951362]"
1791,"[-8.055834, -34.951362]"
1793,"[-8.055834, -34.951362]"
1794,"[-8.055834, -34.951362]"
1803,"[-8.055834, -34.951362]"
1805,"[-8.055834, -34.951362]"
1807,"[-8.055834, -34.951362]"
1817,"[-8.055834, -34.951362]"
1825,"[-8.055834, -34.951362]"
1832,"[-8.055834, -34.951362]"
1833,"[-8.055834, -34.951362]"
1835,"[-8.055834, -34.951362]"
1839,"[-8.055834, -34.951362]"
1840,"[-8.055834, -34.951362]"
1844,"[-8.055834, -34.951362]"
1851,"[-8.055834, -34.951362]"
1860,"[-8.055834, -34.951362]"
1862,"[-8.055834, -34.951362]"
1864,"[-8.055834, -34.951362]"
1877,"[-8.055834, -34.951362]"
1880,"[-8.055834, -34.951362]"
1888,"[-8.055834, -34.951362]"
1891,"[-8.055834, -34.951362]"
1897,"[-8.055834, -34.951362]"
1915,"[-8.055834, -34.951362]"
1918,"[-8.055834, -34.951362]"
1919,"[-8.055834, -34.951362]"
1921,"[-8.055834, -34.951362]"
1922,"[-8.055834, -34.951362]"
1928,"[-8.055834, -34.951362]"
1934,"[-8.055834, -34.951362]"
1937,"[-8.055834, -34.951362]"
1941,"[-8.055834, -34.951362]"
1945,"[-8.055834, -34.951362]"
1952,"[-8.055834, -34.951362]"
1954,"[-8.055834, -34.951362]"
1957,"[-8.055834, -34.951362]"
1962,"[-8.055834, -34.951362]"
1963,"[-8.055834, -34.951362]"
1965,"[-8.055834, -34.951362]"
1971,"[-8.055834, -34.951362]"
1978,"[-8.055834, -34.951362]"
1981,"[-8.055834, -34.951362]"
1982,"[-8.055834, -34.951362]"
1989,"[-8.055834, -34.951362]"
1992,"[-8.055834, -34.951362]"
1995,"[-8.055834, -34.951362]"
2002,"[-8.055834, -34.951362]"
2004,"[-8.055834, -34.951362]"
2006,"[-8.055834, -34.951362]"
2008,"[-8.055834, -34.951362]"
2012,"[-8.055834, -34.951362]"
2013,"[-8.055834, -34.951362]"
2018,"[-8.055834, -34.951362]"
2022,"[-8.055834, -34.951362]"
2025,"[-8.055834, -34.951362]"
2029,"[-8.055834, -34.951362]"
2034,"[-8.055834, -34.951362]"
2036,"[-8.055834, -34.951362]"
2045,"[-8.055834, -34.951362]"
2055,"[-8.055834, -34.951362]"
2057,"[-8.055834, -34.951362]"
2058,"[-8.055834, -34.951362]"
